First Name,Last Name,Draft Year,Years of Service
Glen,Selbo,0,1
Miye,Oni,2019,1
Anthony,Goldwire,1994,8
Clay,Johnson,0,3
Don,Reid,1995,8
Darius,Miller,2012,5
George,Gervin,0,10
Michael,Gbinije,2016,1
Tayshaun,Prince,2002,13
Rich,King,1991,4
Gus,Johnson,0,10
Joe,Harris,2014,5
KZ,Okpala,2019,1
Rex,Walters,1993,7
Sasha,Pavlovic,2003,10
Roy,Hinson,0,8
Arinze,Onuaku,2010,3
Wade,Baldwin IV,2016,3
Billy,Paultz,0,9
Edwin,Kachan,0,1
Dwayne,Polee,0,1
Chet,Carlisle,0,1
Jamaal,Magloire,2000,12
Thomas,Bryant,2017,3
Medford,Park,0,5
Bill,Laimbeer,0,14
Terence,Davis,2019,1
Haywoode,Workman,1989,8
Nick,Calathes,2009,2
Chuck,Mrazovich,0,1
Ray,Scott,0,9
Dane,Suttle,0,2
Desmon,Farmer,2004,2
David,Wear,2014,0
Jerry,Baskerville,0,1
Miroslav,Raduljica,2010,2
Andy,Panko,0,0
Channing,Frye,2005,12
Negele,Knight,1990,6
Alex,Poythress,2016,3
Tahjere,McCall,2017,1
Rawle,Alkins,2018,1
Bruce,Brown,2018,2
Alvin,Scott,0,8
Mark,Jones,1998,1
Antonius,Cleveland,2017,2
Pat,Connaughton,2015,4
Donell,Taylor,2005,2
Bob,Carrington,0,2
Nate,McMillan,1986,12
Jarell,Martin,2015,3
Howie,Jolliff,0,3
Art,Spector,0,4
Dave,Schellhase,0,2
Tony,Campbell,0,11
Isiah,Thomas,0,13
John,Austin,0,1
Hakim,Warrick,2005,8
Ian,Clark,2013,5
Brandon,Rush,2008,8
Charlie,Criss,0,8
Marcus,Cousin,2009,1
Tacko,Fall,2019,1
Robert,Horry,1992,16
Charlie,Tyra,0,5
LeBron,James,2003,16
Scott,Roth,0,3
Jake,Bornheimer,0,2
Brandon,Paul,2013,1
Linton,Johnson,2001,6
Bruno,Caboclo,2014,5
Rick,Wilson,0,2
Steve,Sheppard,0,2
Kevin,Pritchard,1990,4
Al,Carlson,0,1
Winford,Boynes,0,3
Jaylen,Brown,2016,4
Lee,Robbins,0,2
Dick,Fitzgerald,0,2
Isaiah,Hartenstein,2017,2
Billy,McKinney,0,7
Wayne,Cooper,0,14
Jaylen,Brown,2016,4
Thomas,Welsh,2018,1
Doyle,Parrack,0,1
Marial,Shayok,2019,1
Howie,Carl,0,1
DeAndre',Bembry,2016,4
Trenton,Hassell,2001,9
Kareem,Abdul-Jabbar,0,20
J.R.,Henderson,1998,1
Keith,Van Horn,1997,9
Robert,Hawkins,0,4
Royce,O'Neale,2015,3
Dave,Sorenson,0,3
Joe,Smyth,0,1
John,Paxson,0,11
Chris,Bosh,2003,12
Anthony,Carter,1998,13
Kebu,Stewart,1997,1
Joe,Holland,0,3
Chris,Johnson,2012,3
